fname	inst_name	time	from_to	item	amount
367000solu.dat	367000	23->24	5->9	(113,	vid)	115.2
367000solu.dat	367000	24->25	113->5	(113,	vid)	115.2
367000solu.dat	367000	24->25	5->9	(113,	vid)	115.2
367000solu.dat	367000	25->26	113->5	(113,	vid)	115.2
367000solu.dat	367000	25->26	5->9	(113,	vid)	115.2
367000solu.dat	367000	26->27	113->5	(113,	vid)	115.2
367000solu.dat	367000	26->27	5->9	(113,	vid)	115.2
367000solu.dat	367000	27->28	113->5	(113,	vid)	115.2
367000solu.dat	367000	27->28	5->9	(113,	vid)	115.2
367000solu.dat	367000	28->29	113->5	(113,	vid)	115.2
367000solu.dat	367000	28->29	5->9	(113,	vid)	115.2
367000solu.dat	367000	29->30	113->5	(113,	vid)	115.2
367000solu.dat	367000	29->30	5->9	(113,	vid)	115.2
367000solu.dat	367000	30->31	113->5	(113,	vid)	115.2
367000solu.dat	367000	30->31	5->9	(113,	vid)	115.2
367000solu.dat	367000	31->32	113->5	(113,	vid)	115.2
367000solu.dat	367000	31->32	5->9	(113,	vid)	115.2
367000solu.dat	367000	32->33	113->5	(113,	vid)	115.2
367000solu.dat	367000	32->33	5->9	(113,	vid)	115.2
367000solu.dat	367000	33->34	113->5	(113,	vid)	115.2
367000solu.dat	367000	33->34	5->9	(113,	vid)	115.2
367000solu.dat	367000	34->35	113->5	(113,	vid)	115.2
367000solu.dat	367000	34->35	5->9	(113,	vid)	115.2
367000solu.dat	367000	35->36	113->5	(113,	vid)	115.2
367000solu.dat	367000	35->36	5->9	(113,	vid)	115.2
367000solu.dat	367000	36->37	113->5	(113,	vid)	115.2
367000solu.dat	367000	36->37	5->9	(113,	vid)	115.2
367000solu.dat	367000	37->38	113->5	(113,	vid)	115.2
367000solu.dat	367000	37->38	5->9	(113,	vid)	115.2
367000solu.dat	367000	38->39	113->5	(113,	vid)	115.2
367000solu.dat	367000	38->39	5->9	(113,	vid)	115.2
367000solu.dat	367000	39->40	113->5	(113,	vid)	115.2
367000solu.dat	367000	39->40	5->9	(113,	vid)	115.2
367000solu.dat	367000	40->41	113->5	(113,	vid)	115.2
367000solu.dat	367000	40->41	5->9	(113,	vid)	115.2
367000solu.dat	367000	41->42	113->5	(113,	vid)	115.2
367000solu.dat	367000	41->42	5->9	(113,	vid)	115.2
367000solu.dat	367000	42->43	103->6	(103,	vid)	115.2
367000solu.dat	367000	42->43	5->9	(113,	vid)	115.2
367000solu.dat	367000	43->44	107->5	(107,	vid)	115.2
367000solu.dat	367000	43->44	6->9	(103,	vid)	115.2
367000solu.dat	367000	44->45	107->5	(107,	vid)	115.2
367000solu.dat	367000	44->45	5->9	(107,	vid)	115.2
367000solu.dat	367000	45->46	107->5	(107,	vid)	115.2
367000solu.dat	367000	45->46	5->9	(107,	vid)	115.2
367000solu.dat	367000	46->47	107->5	(107,	vid)	115.2
367000solu.dat	367000	46->47	5->9	(107,	vid)	115.2
367000solu.dat	367000	47->48	107->5	(107,	vid)	115.2
367000solu.dat	367000	47->48	5->9	(107,	vid)	115.2
367000solu.dat	367000	48->49	107->5	(107,	vid)	115.2
367000solu.dat	367000	48->49	5->9	(107,	vid)	115.2
367000solu.dat	367000	49->50	113->5	(113,	vid)	115.2
367000solu.dat	367000	49->50	5->9	(107,	vid)	115.2
367000solu.dat	367000	50->51	113->5	(113,	vid)	115.2
367000solu.dat	367000	50->51	5->9	(113,	vid)	115.2
367000solu.dat	367000	51->52	113->5	(113,	vid)	115.2
367000solu.dat	367000	51->52	5->9	(113,	vid)	115.2
367000solu.dat	367000	52->53	113->5	(113,	vid)	115.2
367000solu.dat	367000	52->53	5->9	(113,	vid)	115.2
367000solu.dat	367000	53->54	113->5	(113,	vid)	115.2
367000solu.dat	367000	53->54	5->9	(113,	vid)	115.2
367000solu.dat	367000	54->55	113->5	(113,	vid)	115.2
367000solu.dat	367000	54->55	5->9	(113,	vid)	115.2
367000solu.dat	367000	55->56	113->5	(113,	vid)	115.2
367000solu.dat	367000	55->56	5->9	(113,	vid)	115.2
367000solu.dat	367000	56->57	113->5	(113,	vid)	115.2
